page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
206	206	CHRISTIAN’S HOPE	Christian’s Hope	Christian’s Hope		CHRISTIAN’S HOPE	Christian’s Hope	Christian’s Hope	Parris		-	
207	207	LOUISIANA	Louisiana	Louisiana		LOUISIANA	Louisiana	Louisiana	Walker		-	
208	208	TRAVELING ON	Traveling On	Traveling On		TRAVELING ON	Traveling On	Traveling On	Denson & James		-	
209	209	EVENING SHADE	Evening Shade	Evening Shade		EVENING SHADE	Evening Shade	Evening Shade	Jenks		-	
210	210	LENA	Lena	Lena		LENA	Lena	Lena	Belknap		-	
211	211	WHITESTOWN	Whitestown	Whitestown		WHITESTOWN	Whitestown	Whitestown	Howd		-	
212	212	SHARON	Sharon	Sharon		SHARON	Sharon	Sharon	West		-	
213t	213.1	THE GOOD OLD WAY	The Good Old Way	Good Old Way, The		THE GOOD OLD WAY	The Good Old Way	Good Old Way, The	Walker		-	
213b	213.2	TREMBLING SPIRIT	Trembling Spirit	Trembling Spirit		TREMBLING SPIRIT	Trembling Spirit	Trembling Spirit	Karlsberg		Living	
214	214	REPENTANCE	Repentance	Repentance		REPENTANCE	Repentance	Repentance	Rollo		-	
215	215	NEW TOPIA	New Topia	New Topia		NEW TOPIA	New Topia	New Topia	Monday		-	
216	216	DELIGHT	Delight	Delight		DELIGHT	Delight	Delight	Coan		-	
217	217	BALLSTOWN	Ballstown	Ballstown		BALLSTOWN	Ballstown	Ballstown	Shumway		-	
218	218	MOUNT PLEASANT	Mount Pleasant	Mount Pleasant		MOUNT PLEASANT	Mount Pleasant	Mount Pleasant	Deolph		-	
219	219	HE HATH SAVED US	He Hath Saved Us	He Hath Saved Us		HE HATH SAVED US	He Hath Saved Us	He Hath Saved Us	Parkinson		Living	
220	220	MOUNT ZION	Mount Zion	Mount Zion	Brown	MOUNT ZION (Brown)	Mount Zion (Brown)	Mount Zion (Brown)	Brown		-	
222	222	OCEAN	Ocean	Ocean		OCEAN	Ocean	Ocean	Philadelphia Harmony	yes	-	
223	223	BALM IN GILEAD	Balm in Gilead	Balm in Gilead		BALM IN GILEAD	Balm in Gilead	Balm in Gilead	Wright		Living	Arr.
224	224	SAVE, LORD, OR WE PERISH	Save, Lord, or We Perish	Save, Lord, or We Perish		SAVE, LORD, OR WE PERISH	Save, Lord, or We Perish	Save, Lord, or We Perish	Wynn		-	
225t	225.1	REYNOLDS	Reynolds	Reynolds		REYNOLDS	Reynolds	Reynolds	Griggs		-	Arr. from
225b	225.2	CHRISTMAS ANTHEM	Christmas Anthem	Christmas Anthem		CHRISTMAS ANTHEM	Christmas Anthem	Christmas Anthem	Denson		-	
227	227	ODE OF LIFE’S JOURNEY	Ode of Life’s Journey	Ode of Life’s Journey		ODE OF LIFE’S JOURNEY	Ode of Life’s Journey	Ode of Life’s Journey	King		-	
228	228	MARLBOROUGH	Marlborough	Marlborough		MARLBOROUGH	Marlborough	Marlborough	Wood		-	
229	229	IRWINTON	Irwinton	Irwinton		IRWINTON	Irwinton	Irwinton	Carter		-	Arr.
230	230	CONVERTING GRACE	Converting Grace	Converting Grace		CONVERTING GRACE	Converting Grace	Converting Grace	Brown		-	
231	231	SEILER	Seiler	Seiler		SEILER	Seiler	Seiler	Karlsberg		Living	
232	232	BAPTISMAL ANTHEM	Baptismal Anthem	Baptismal Anthem		BAPTISMAL ANTHEM	Baptismal Anthem	Baptismal Anthem	White		-	
234	234	REVERENTIAL ANTHEM	Reverential Anthem	Reverential Anthem		REVERENTIAL ANTHEM	Reverential Anthem	Reverential Anthem	King		-	
235	235	LONG SOUGHT HOME	Long Sought Home	Long Sought Home		LONG SOUGHT HOME	Long Sought Home	Long Sought Home	Bobo		-	
236	236	EASTER ANTHEM	Easter Anthem	Easter Anthem		EASTER ANTHEM	Easter Anthem	Easter Anthem	Billings		-	
240	240	CHRISTIAN SONG	Christian Song	Christian Song		CHRISTIAN SONG	Christian Song	Christian Song	Christian Harmony	yes	-	
242	242	REVERE	Revere	Revere		REVERE	Revere	Revere	Walter		Living	
243	243	STANTON	Stanton	Stanton		STANTON	Stanton	Stanton	Ceresa		Living	
244	244	PLEVNA	Plevna	Plevna		PLEVNA	Plevna	Plevna	Bahler		Living	
245	245	CLAREMONT	Claremont	Claremont		CLAREMONT	Claremont	Claremont	Temple & Merrill		-	
250	250	HEAVENLY VISION	Heavenly Vision	Heavenly Vision		HEAVENLY VISION	Heavenly Vision	Heavenly Vision	French		-	
254	254	WARSAW	Warsaw	Warsaw		WARSAW	Warsaw	Warsaw	Bock		Living	
255	255	MECHANICVILLE	Mechanicville	Mechanicville		MECHANICVILLE	Mechanicville	Mechanicville	Montgomery		Living	
256	256	NORTHAMPTON	Northampton	Northampton		NORTHAMPTON	Northampton	Northampton	Steel		Living	
257	257	MANATAWNY	Manatawny	Manatawny		MANATAWNY	Manatawny	Manatawny	Hall		Living	
258	258	INSPIRATION	Inspiration	Inspiration		INSPIRATION	Inspiration	Inspiration	Solheim		Living	
259	259	EASTON	Easton	Easton		EASTON	Easton	Easton	Elliott		Living	
260	260	FAREWELL ANTHEM	Farewell Anthem	Farewell Anthem		FAREWELL ANTHEM	Farewell Anthem	Farewell Anthem	French		-	
263	263	EVERY GRACE	Every Grace	Every Grace		EVERY GRACE	Every Grace	Every Grace	Wright		Living	
264	264	NIGHT SONG	Night Song	Night Song		NIGHT SONG	Night Song	Night Song	Steel		Living	
265	265	GWEHELOG	Gwehelog	Gwehelog		GWEHELOG	Gwehelog	Gwehelog	Parkinson		Living	
266	266	CHAMBERSBURG	Chambersburg	Chambersburg		CHAMBERSBURG	Chambersburg	Chambersburg	Mose		Living	
267	267	PARTING FRIENDS	Parting Friends	Parting Friends	McCurry	PARTING FRIENDS (McCurry)	Parting Friends (McCurry)	Parting Friends (McCurry)	McCurry		-	Arr.
268	268	DAVID’S LAMENTATION	David’s Lamentation	David’s Lamentation		DAVID’S LAMENTATION	David’s Lamentation	David’s Lamentation	Billings		-	
269	269	BEAR CREEK	Bear Creek	Bear Creek		BEAR CREEK	Bear Creek	Bear Creek	Billings		-	
270	270	CONFIDENCE	Confidence	Confidence		CONFIDENCE	Confidence	Confidence	Turner		-	
271t	271.1	ARKANSAS	Arkansas	Arkansas		ARKANSAS	Arkansas	Arkansas	Barnett		-	
271b	271.2	RESTORATION	Restoration	Restoration	White	RESTORATION (White)	Restoration (White)	Restoration (White)	White		-	
272	272	EXHORTATION	Exhortation	Exhortation	Doolittle	EXHORTATION (Doolittle)	Exhortation (Doolittle)	Exhortation (Doolittle)	Doolittle		-	
273	273	MILFORD	Milford	Milford		MILFORD	Milford	Milford	Stephenson		-	
274t	274.1	THE GOLDEN HARP	The Golden Harp	Golden Harp, The		THE GOLDEN HARP	The Golden Harp	Golden Harp, The	Rees		-	
274b	274.2	ROLL JORDAN	Roll Jordan	Roll Jordan		ROLL JORDAN	Roll Jordan	Roll Jordan	McCurry		-	
275t	275.1	LOVING-KINDNESS	Loving-Kindness	Loving-Kindness		LOVING-KINDNESS	Loving-Kindness	Loving-Kindness	Pickard & Penick		-	
275b	275.2	ROLL ON	Roll On	Roll On		ROLL ON	Roll On	Roll On	Bass		-	
276	276	BRIDGEWATER	Bridgewater	Bridgewater		BRIDGEWATER	Bridgewater	Bridgewater	Edson		-	
277	277	ANTIOCH	Antioch	Antioch		ANTIOCH	Antioch	Antioch	Wood		-	
278t	278.1	LOVE SHALL NEVER DIE	Love Shall Never Die	Love Shall Never Die		LOVE SHALL NEVER DIE	Love Shall Never Die	Love Shall Never Die	Smith		-	
278b	278.2	TRAVELING PILGRIM	Traveling Pilgrim	Traveling Pilgrim		TRAVELING PILGRIM	Traveling Pilgrim	Traveling Pilgrim	Rees		-	
279	279	MINK HOLLOW	Mink Hollow	Mink Hollow		MINK HOLLOW	Mink Hollow	Mink Hollow	Mose		Living	
280	280	WESTFORD	Westford	Westford		WESTFORD	Westford	Westford	Read		-	
282	282	I’M GOING HOME	I’m Going Home	I’m Going Home		I’M GOING HOME	I’m Going Home	I’m Going Home	Breedlove		-	
283	283	SABBATH MORNING	Sabbath Morning	Sabbath Morning		SABBATH MORNING	Sabbath Morning	Sabbath Morning	McGraw		-	
284	284	GARDEN HYMN	Garden Hymn	Garden Hymn		GARDEN HYMN	Garden Hymn	Garden Hymn	Kentucky Harmony	yes	-	Arr.
285t	285.1	ARNOLD	Arnold	Arnold		ARNOLD	Arnold	Arnold	Breedlove		-	
285b	285.2	LAND OF REST	Land of Rest	Land of Rest		LAND OF REST	Land of Rest	Land of Rest	Rees		-	
286	286	HEAVENLY HOME	Heavenly Home	Heavenly Home		HEAVENLY HOME	Heavenly Home	Heavenly Home	Yates		-	
287	287	CAMBRIDGE	Cambridge	Cambridge		CAMBRIDGE	Cambridge	Cambridge	Randall		-	
288	288	WHITE	White	White		WHITE	White	White	Dumas		-	
289	289	GREENSBOROUGH	Greensborough	Greensborough		GREENSBOROUGH	Greensborough	Greensborough	Mercer		-	
290	290	VICTORIA	Victoria	Victoria		VICTORIA	Victoria	Victoria	Breedlove		-	
291	291	MAJESTY	Majesty	Majesty		MAJESTY	Majesty	Majesty	Billings		-	
292	292	BEHOLD THE SAVIOR	Behold the Savior	Behold the Savior		BEHOLD THE SAVIOR	Behold the Savior	Behold the Savior	Denson		-	
293	293	MIDNIGHT HOUR	Midnight Hour	Midnight Hour		MIDNIGHT HOUR	Midnight Hour	Midnight Hour	Thacker		Living	
294	294	ROCKY ROAD	Rocky Road	Rocky Road		ROCKY ROAD	Rocky Road	Rocky Road	Brown & Denson		-	Arr.
295	295	IOWA	Iowa	Iowa		IOWA	Iowa	Iowa	Brittain		-	
296	296	SARDINIA	Sardinia	Sardinia		SARDINIA	Sardinia	Sardinia	Castle		-	
297	297	CONVERSION	Conversion	Conversion		CONVERSION	Conversion	Conversion	Belcher		-	
298	298	PROVIDENCE	Providence	Providence		PROVIDENCE	Providence	Providence	Curtis		-	
299	299	NEW JERUSALEM	New Jerusalem	New Jerusalem		NEW JERUSALEM	New Jerusalem	New Jerusalem	Ingalls		-	
300	300	CALVARY	Calvary	Calvary		CALVARY	Calvary	Calvary	Read		-	
301	301	GREENLAND	Greenland	Greenland		GREENLAND	Greenland	Greenland	Moore		-	
302	302	LOGAN	Logan	Logan		LOGAN	Logan	Logan	Denson		-	
303	303	HEAVENLY LAND	Heavenly Land	Heavenly Land		HEAVENLY LAND	Heavenly Land	Heavenly Land	Sheppard		-	
304	304	MORGAN	Morgan	Morgan		MORGAN	Morgan	Morgan	Easy Instructor	yes	-	
306	306	OXFORD	Oxford	Oxford		OXFORD	Oxford	Oxford	Massengale		-	Arr.
308	308	THE LOST CITY	The Lost City	Lost City, The		THE LOST CITY	The Lost City	Lost City, The	King		-	Arr.
309	309	LIVING LAMB	Living Lamb	Living Lamb		LIVING LAMB	Living Lamb	Living Lamb	Davis		-	Arr.
310	310	WEEPING SAVIOR	Weeping Savior	Weeping Savior	Dumas	WEEPING SAVIOR (Dumas)	Weeping Savior (Dumas)	Weeping Savior (Dumas)	Dumas		-	Arr.
311	311	SILVER STREET	Silver Street	Silver Street		SILVER STREET	Silver Street	Silver Street	Smith		-	
312t	312.1	SING TO ME OF HEAVEN	Sing to Me of Heaven	Sing to Me of Heaven		SING TO ME OF HEAVEN	Sing to Me of Heaven	Sing to Me of Heaven	Massengale		-	Arr.
312b	312.2	RESTORATION	Restoration	Restoration	Southern Harmony	RESTORATION (Southern Harmony)	Restoration (Southern Harmony)	Restoration (Southern Harmony)	Southern Harmony	yes	-	Arr.
313t	313.1	CONCORD	Concord	Concord		CONCORD	Concord	Concord	Holden		-	
313b	313.2	COBB	Cobb	Cobb		COBB	Cobb	Cobb	Brittain		-	
314	314	CLEBURNE	Cleburne	Cleburne		CLEBURNE	Cleburne	Cleburne	Denson		-	Arr.
315	315	IMMENSITY	Immensity	Immensity		IMMENSITY	Immensity	Immensity	Doolittle		-	
316	316	NEW HOPE	New Hope	New Hope		NEW HOPE	New Hope	New Hope	Cagle		-	
317	317	JACKSON	Jackson	Jackson		JACKSON	Jackson	Jackson	McWhorter		-	
318	318	PRESENT JOYS	Present Joys	Present Joys		PRESENT JOYS	Present Joys	Present Joys	Cagle		-	
319	319	RELIGION IS A FORTUNE	Religion Is a Fortune	Religion Is a Fortune		RELIGION IS A FORTUNE	Religion Is a Fortune	Religion Is a Fortune	Williams		-	
320	320	FUNERAL ANTHEM	Funeral Anthem	Funeral Anthem		FUNERAL ANTHEM	Funeral Anthem	Funeral Anthem	Billings		-	
321	321	NEWNAN	Newnan	Newnan		NEWNAN	Newnan	Newnan	Rees		-	
322	322	MAN’S REDEMPTION	Man’s Redemption	Man’s Redemption		MAN’S REDEMPTION	Man’s Redemption	Man’s Redemption	Brown		-	
323t	323.1	MULLINS	Mullins	Mullins		MULLINS	Mullins	Mullins	Dumas		-	Arr.
323b	323.2	KINGSWOOD	Kingswood	Kingswood		KINGSWOOD	Kingswood	Kingswood	Elliott		Living	
324	324	NORTH PORT	North Port	North Port		NORTH PORT	North Port	North Port	Osborne		-	
325	325	SOLDIER OF THE CROSS	Soldier of the Cross	Soldier of the Cross		SOLDIER OF THE CROSS	Soldier of the Cross	Soldier of the Cross	Daniell		-	
326	326	WEARY PILGRIM	Weary Pilgrim	Weary Pilgrim		WEARY PILGRIM	Weary Pilgrim	Weary Pilgrim	Breedlove		-	
327	327	INVITATION	Invitation	Invitation		INVITATION	Invitation	Invitation	Kimball		-	
328	328	PRAISE GOD	Praise God	Praise God		PRAISE GOD	Praise God	Praise God	Denson		-	
329	329	VAIN WORLD ADIEU	Vain World Adieu	Vain World Adieu		VAIN WORLD ADIEU	Vain World Adieu	Vain World Adieu	Dumas		-	Arr.
330t	330.1	FELLOWSHIP	Fellowship	Fellowship		FELLOWSHIP	Fellowship	Fellowship	Denson		-	
330b	330.2	CHANDESSE	Chandesse	Chandesse		CHANDESSE	Chandesse	Chandesse	Eymard		Living	
332	332	SONS OF SORROW	Sons of Sorrow	Sons of Sorrow		SONS OF SORROW	Sons of Sorrow	Sons of Sorrow	Hauser		-	Arr.
333	333	FAMILY CIRCLE	Family Circle	Family Circle		FAMILY CIRCLE	Family Circle	Family Circle	Brown & White		-	
334	334	BAINBRIDGE ISLAND	Bainbridge Island	Bainbridge Island		BAINBRIDGE ISLAND	Bainbridge Island	Bainbridge Island	Barrans		Living	
335	335	RETURN AGAIN	Return Again	Return Again		RETURN AGAIN	Return Again	Return Again	Williams		-	Arr.
336	336	ETERNAL HOME	Eternal Home	Eternal Home		ETERNAL HOME	Eternal Home	Eternal Home	Denson		-	
337	337	MERCY’S FREE	Mercy’s Free	Mercy’s Free		MERCY’S FREE	Mercy’s Free	Mercy’s Free	Breedlove		-	
338	338	SAWYER’S EXIT	Sawyer’s Exit	Sawyer’s Exit		SAWYER’S EXIT	Sawyer’s Exit	Sawyer’s Exit	Massengale		-	Arr.
339	339	WHEN I AM GONE	When I Am Gone	When I Am Gone		WHEN I AM GONE	When I Am Gone	When I Am Gone	Bayly		-	Arr. from
340	340	ODEM	Odem	Odem		ODEM	Odem	Odem	Denson		-	
341	341	THE LONE PILGRIM	The Lone Pilgrim	Lone Pilgrim, The		THE LONE PILGRIM	The Lone Pilgrim	Lone Pilgrim, The	Indian Melodies	yes	-	Arr. from
342	342	THE OLD-FASHIONED BIBLE	The Old-Fashioned Bible	Old-Fashioned Bible, The		THE OLD-FASHIONED BIBLE	The Old-Fashioned Bible	Old-Fashioned Bible, The	Breedlove		-	Arr.
343	343	HAPPY HOME	Happy Home	Happy Home		HAPPY HOME	Happy Home	Happy Home	Rees		-	
344	344	RAINBOW	Rainbow	Rainbow		RAINBOW	Rainbow	Rainbow	Swan		-	Arr. from
345t	345.1	JESUS IS MY FRIEND	Jesus Is My Friend	Jesus Is My Friend		JESUS IS MY FRIEND	Jesus Is My Friend	Jesus Is My Friend	Rees		-	
345b	345.2	I’M ON MY JOURNEY HOME	I’m on My Journey Home	I’m on My Journey Home		I’M ON MY JOURNEY HOME	I’m on My Journey Home	I’m on My Journey Home	Lancaster		-	
346	346	THE AMERICAN STAR	The American Star	American Star, The		THE AMERICAN STAR	The American Star	American Star, The	White		-	Arr.
347t	347.1	CHRISTIAN’S FAREWELL	Christian’s Farewell	Christian’s Farewell		CHRISTIAN’S FAREWELL	Christian’s Farewell	Christian’s Farewell	Hamrick		-	
347b	347.2	HUMILITY	Humility	Humility		HUMILITY	Humility	Humility	Hamrick		-	
348t	348.1	AINSLIE	Ainslie	Ainslie		AINSLIE	Ainslie	Ainslie	Hauff		Living	
348b	348.2	FLEETING DAYS	Fleeting Days	Fleeting Days		FLEETING DAYS	Fleeting Days	Fleeting Days	Mann		-	
349	349	A CROSS FOR ME	A Cross for Me	Cross for Me, A		A CROSS FOR ME	A Cross for Me	Cross for Me, A	Parris		-	
350	350	NATIVITY	Nativity	Nativity		NATIVITY	Nativity	Nativity	Jarman		-	Arr. from
351	351	PITTSFORD	Pittsford	Pittsford		PITTSFORD	Pittsford	Pittsford	Moors		-	
352	352	SWANTON	Swanton	Swanton		SWANTON	Swanton	Swanton	Moors		-	
353	353	McGRAW	McGraw	McGraw		McGRAW	McGraw	McGraw	Brittain		-	
354t	354.1	LEBANON	Lebanon	Lebanon		LEBANON	Lebanon	Lebanon	J. Monroe Denton		-	
354b	354.2	HAPPY LAND	Happy Land	Happy Land		HAPPY LAND	Happy Land	Happy Land	Breedlove		-	Arr.
355	355	TORRINGTON	Torrington	Torrington		TORRINGTON	Torrington	Torrington	Mose		Living	
356	356	BOUNDLESS GRACE	Boundless Grace	Boundless Grace		BOUNDLESS GRACE	Boundless Grace	Boundless Grace	Walter		Living	
357	357	KEDAR	Kedar	Kedar		KEDAR	Kedar	Kedar	Ward		Living	
358	358	MURILLO’S LESSON	Murillo’s Lesson	Murillo’s Lesson		MURILLO’S LESSON	Murillo’s Lesson	Murillo’s Lesson	Morelli		-	Arr. from
359	359	THE BRIDE’S FAREWELL	The Bride’s Farewell	Bride’s Farewell, The		THE BRIDE’S FAREWELL	The Bride’s Farewell	Bride’s Farewell, The	Rees		-	
360	360	THE ROYAL BAND	The Royal Band	Royal Band, The		THE ROYAL BAND	The Royal Band	Royal Band, The	Power		-	
361	361	LOVING JESUS	Loving Jesus	Loving Jesus		LOVING JESUS	Loving Jesus	Loving Jesus	Giardini		-	Arr. from
362	362	NORWICH	Norwich	Norwich		NORWICH	Norwich	Norwich	Holyoke		-	Arr. from
364	364	SOUTHWELL	Southwell	Southwell		SOUTHWELL	Southwell	Southwell	Carpenter		-	
366	366	BREMEN	Bremen	Bremen		BREMEN	Bremen	Bremen	Titford-Mock		Living	
367	367	NASSAU	Nassau	Nassau		NASSAU	Nassau	Nassau	Bock		Living	
368	368	STONY POINT	Stony Point	Stony Point		STONY POINT	Stony Point	Stony Point	Hauff		Living	
369	369	SEND A BLESSING	Send a Blessing	Send a Blessing		SEND A BLESSING	Send a Blessing	Send a Blessing	White & Ledbetter		-	
370	370	MONROE	Monroe	Monroe		MONROE	Monroe	Monroe	Turner		-	
371	371	HEAVENLY DOVE	Heavenly Dove	Heavenly Dove		HEAVENLY DOVE	Heavenly Dove	Heavenly Dove	Maxim		-	Arr. from
372	372	ROCKPORT	Rockport	Rockport		ROCKPORT	Rockport	Rockport	Carnes		Living	
373	373	HOMEWARD BOUND	Homeward Bound	Homeward Bound		HOMEWARD BOUND	Homeward Bound	Homeward Bound	Denson		-	
374	374	OH, SING WITH ME!	Oh, Sing with Me!	Oh, Sing with Me!		OH, SING WITH ME!	Oh, Sing with Me!	Oh, Sing with Me!	Lancaster		-	
375	375	LOVE THE LORD	Love the Lord	Love the Lord		LOVE THE LORD	Love the Lord	Love the Lord	Rees		-	Arr.
376	376	HELP ME TO SING	Help Me to Sing	Help Me to Sing		HELP ME TO SING	Help Me to Sing	Help Me to Sing	White		-	
377	377	ETERNAL PRAISE	Eternal Praise	Eternal Praise		ETERNAL PRAISE	Eternal Praise	Eternal Praise	Parris		-	
378t	378.1	HEAVENLY PORT	Heavenly Port	Heavenly Port		HEAVENLY PORT	Heavenly Port	Heavenly Port	Dumas		-	Arr.
378b	378.2	NEVER TURN BACK	Never Turn Back	Never Turn Back		NEVER TURN BACK	Never Turn Back	Never Turn Back	Rees & Parkerson		-	Arr.
379	379	SPAN OF LIFE	Span of Life	Span of Life		SPAN OF LIFE	Span of Life	Span of Life	Brown		-	
380	380	LAWRENCEBURG	Lawrenceburg	Lawrenceburg		LAWRENCEBURG	Lawrenceburg	Lawrenceburg	Denson		-	
381	381	WELLS SECOND	Wells Second	Wells Second		WELLS SECOND	Wells Second	Wells Second	Wright		Living	
382	382	COSTON	Coston	Coston		COSTON	Coston	Coston	Denson		-	
383	383	ETERNAL DAY	Eternal Day	Eternal Day		ETERNAL DAY	Eternal Day	Eternal Day	Rees		-	
384	384	PANTING FOR HEAVEN	Panting for Heaven	Panting for Heaven		PANTING FOR HEAVEN	Panting for Heaven	Panting for Heaven	Brown		-	
385t	385.1	FIGHT ON	Fight On	Fight On		FIGHT ON	Fight On	Fight On	Rees		-	
385b	385.2	CAN I LEAVE YOU?	Can I Leave You?	Can I Leave You?		CAN I LEAVE YOU?	Can I Leave You?	Can I Leave You?	Rees		-	Arr.
386	386	CHRIST OUR SONG	Christ Our Song	Christ Our Song		CHRIST OUR SONG	Christ Our Song	Christ Our Song	McGraw		-	
387	387	PENICK	Penick	Penick		PENICK	Penick	Penick	Sikes		-	
388	388	THE HAPPY SAILOR	The Happy Sailor	Happy Sailor, The		THE HAPPY SAILOR	The Happy Sailor	Happy Sailor, The	White		-	Arr.
389	389	FREDERICKSBURG	Fredericksburg	Fredericksburg		FREDERICKSBURG	Fredericksburg	Fredericksburg	Frederick		-	
390	390	NEW PROSPECT	New Prospect	New Prospect		NEW PROSPECT	New Prospect	New Prospect	Turner		-	Arr.
391	391	SOUNDING JOY	Sounding Joy	Sounding Joy		SOUNDING JOY	Sounding Joy	Sounding Joy	Morgan		-	
392	392	MANCHESTER	Manchester	Manchester		MANCHESTER	Manchester	Manchester	Denson		-	
393	393	REBEKAH	Rebekah	Rebekah		REBEKAH	Rebekah	Rebekah	Gilmore		Living	
394	394	THE MESSIAH’S PRAISE	The Messiah’s Praise	Messiah’s Praise, The		THE MESSIAH’S PRAISE	The Messiah’s Praise	Messiah’s Praise, The	Mann & Spark		-	
395	395	UNRATH	Unrath	Unrath		UNRATH	Unrath	Unrath	Mose		Living	
396	396	NOTES ALMOST DIVINE	Notes Almost Divine	Notes Almost Divine		NOTES ALMOST DIVINE	Notes Almost Divine	Notes Almost Divine	Denson		-	
397	397	THE FOUNTAIN	The Fountain	Fountain, The		THE FOUNTAIN	The Fountain	Fountain, The	Denson		-	
398	398	THE DYING BOY	The Dying Boy	Dying Boy, The		THE DYING BOY	The Dying Boy	Dying Boy, The	Rees		-	
399t	399.1	THE DYING FRIEND	The Dying Friend	Dying Friend, The		THE DYING FRIEND	The Dying Friend	Dying Friend, The	Wells		-	
399b	399.2	HAPPY CHRISTIAN	Happy Christian	Happy Christian		HAPPY CHRISTIAN	Happy Christian	Happy Christian	Cunningham		-	Arr.
400	400	STRUGGLE ON	Struggle On	Struggle On		STRUGGLE ON	Struggle On	Struggle On	Rees		-	
401	401	CUBA	Cuba	Cuba		CUBA	Cuba	Cuba	Bolen & Rees		-	
402	402	PROTECTION	Protection	Protection	Letson	PROTECTION (Letson)	Protection (Letson)	Protection (Letson)	Letson		-	
403	403	HEAVENLY REST	Heavenly Rest	Heavenly Rest		HEAVENLY REST	Heavenly Rest	Heavenly Rest	Terry		-	
404	404	YOUTH WILL SOON BE GONE	Youth Will Soon Be Gone	Youth Will Soon Be Gone		YOUTH WILL SOON BE GONE	Youth Will Soon Be Gone	Youth Will Soon Be Gone	Rees		-	
405	405	THE MARCELLAS	The Marcellas	Marcellas, The		THE MARCELLAS	The Marcellas	Marcellas, The	Dumas		-	
406	406	NEW HARMONY	New Harmony	New Harmony		NEW HARMONY	New Harmony	New Harmony	Lancaster		-	Arr.
407	407	CHARLTON	Charlton	Charlton		CHARLTON	Charlton	Charlton	Breedlove		-	
408	408	WEEPING MARY	Weeping Mary	Weeping Mary		WEEPING MARY	Weeping Mary	Weeping Mary	Rees		-	
409	409	EXETER	Exeter	Exeter		EXETER	Exeter	Exeter	Bock		Living	
410t	410.1	THE DYING CALIFORNIAN	The Dying Californian	Dying Californian, The		THE DYING CALIFORNIAN	The Dying Californian	Dying Californian, The	Ball & Drinkard		-	Arr. from
410b	410.2	MUTUAL LOVE	Mutual Love	Mutual Love		MUTUAL LOVE	Mutual Love	Mutual Love	Walker		-	
411	411	MORNING PRAYER	Morning Prayer	Morning Prayer		MORNING PRAYER	Morning Prayer	Morning Prayer	Denson		-	
412	412	NEW HOSANNA	New Hosanna	New Hosanna		NEW HOSANNA	New Hosanna	New Hosanna	Rees		-	Arr.
413	413	BUFFAM FALLS	Buffam Falls	Buffam Falls		BUFFAM FALLS	Buffam Falls	Buffam Falls	Eriksen		Living	Arr.
414t	414.1	FAREWELL BRETHREN	Farewell Brethren	Farewell Brethren		FAREWELL BRETHREN	Farewell Brethren	Farewell Brethren	Karlsberg		Living	
414b	414.2	PARTING FRIEND	Parting Friend	Parting Friend		PARTING FRIEND	Parting Friend	Parting Friend	Graham		-	Arr.
415	415	ENDLESS PRAISE	Endless Praise	Endless Praise		ENDLESS PRAISE	Endless Praise	Endless Praise	Wall		-	
416	416	THE CHRISTIAN’S NIGHTLY SONG	The Christian’s Nightly Song	Christian’s Nightly Song, The		THE CHRISTIAN’S NIGHTLY SONG	The Christian’s Nightly Song	Christian’s Nightly Song, The	Pound		-	
417	417	WEEPING PILGRIM	Weeping Pilgrim	Weeping Pilgrim		WEEPING PILGRIM	Weeping Pilgrim	Weeping Pilgrim	Rees		-	
418	418	REES	Rees	Rees		REES	Rees	Rees	Dumas		-	
419	419	MELANCHOLY DAY	Melancholy Day	Melancholy Day		MELANCHOLY DAY	Melancholy Day	Melancholy Day	Rees		-	
420t	420.1	TIDES OF LOVE	Tides of Love	Tides of Love		TIDES OF LOVE	Tides of Love	Tides of Love	Patton		Living	
420b	420.2	BISHOP	Bishop	Bishop		BISHOP	Bishop	Bishop	McGraw		-	
421	421	SWEET MORNING	Sweet Morning	Sweet Morning		SWEET MORNING	Sweet Morning	Sweet Morning	Rees		-	Arr.
422	422	BURDETTE	Burdette	Burdette		BURDETTE	Burdette	Burdette	Denson		-	
423t	423.1	GRANTVILLE	Grantville	Grantville		GRANTVILLE	Grantville	Grantville	Rees		-	
423b	423.2	HALL	Hall	Hall		HALL	Hall	Hall	Velleman		Living	
424	424	SWEET UNION	Sweet Union	Sweet Union		SWEET UNION	Sweet Union	Sweet Union	Rees		-	
425	425	GOLDEN STREETS	Golden Streets	Golden Streets		GOLDEN STREETS	Golden Streets	Golden Streets	Pickard		-	Arr.
426t	426.1	KELLEY	Kelley	Kelley		KELLEY	Kelley	Kelley	Denson		-	
426b	426.2	JASPER	Jasper	Jasper		JASPER	Jasper	Jasper	Denson		-	
428	428	WORLD UNKNOWN	World Unknown	World Unknown		WORLD UNKNOWN	World Unknown	World Unknown	Rees		-	
429	429	RED SANDS	Red Sands	Red Sands		RED SANDS	Red Sands	Red Sands	Parsons		Living	
430	430	ARBACOOCHEE	Arbacoochee	Arbacoochee		ARBACOOCHEE	Arbacoochee	Arbacoochee	Denson		-	
431	431	NEW BETHANY	New Bethany	New Bethany		NEW BETHANY	New Bethany	New Bethany	White		-	
432	432	CHEVES	Cheves	Cheves		CHEVES	Cheves	Cheves	Bradfield		-	
